drug_id,drug_name,primary_condition,secondary_condition,contraindications,side_effects,effectiveness_score
1,Lisinopril,hypertension,none,pregnancy|kidney_disease,dizziness|cough,0.85
2,Metformin,diabetes,none,kidney_disease|liver_disease,nausea|diarrhea,0.88
3,Albuterol,asthma,COPD,heart_disease|hypertension,tremors|anxiety,0.82
4,Atorvastatin,cholesterol,heart_disease,liver_disease|pregnancy,muscle_pain|headache,0.87
5,Sertraline,depression,anxiety,bipolar|liver_disease,insomnia|nausea,0.79
6,Levothyroxine,thyroid,none,heart_rhythm_problems|adrenal_problems,weight_changes|anxiety,0.90
7,Sumatriptan,migraine,none,heart_disease|stroke,dizziness|fatigue,0.83
8,Ibuprofen,pain,inflammation,bleeding_disorders|ulcers,stomach_pain|heartburn,0.75
9,Omeprazole,acid_reflux,ulcers,liver_disease,headache|nausea,0.86
10,Amoxicillin,bacterial_infection,none,penicillin_allergy,diarrhea|rash,0.89
11,Losartan,hypertension,heart_failure,pregnancy|kidney_disease,dizziness|muscle_cramps,0.86
12,Gabapentin,neuropathy,epilepsy,kidney_disease,drowsiness|dizziness,0.81
13,Escitalopram,anxiety,depression,bipolar|liver_disease,nausea|insomnia,0.84
14,Amlodipine,hypertension,angina,heart_block|liver_disease,edema|headache,0.88
15,Fluticasone,asthma,allergies,tuberculosis,throat_irritation|headache,0.85
16,Pantoprazole,acid_reflux,gastritis,liver_disease,headache|diarrhea,0.87
17,Glimepiride,diabetes,none,kidney_disease|liver_failure,hypoglycemia|dizziness,0.83
18,Duloxetine,depression,anxiety,liver_disease|glaucoma,nausea|dry_mouth,0.82
19,Montelukast,asthma,allergies,liver_disease,headache|anxiety,0.84
20,Warfarin,blood_clots,atrial_fibrillation,bleeding_disorders|pregnancy,bleeding|bruising,0.85
21,Venlafaxine,depression,anxiety,liver_disease|hypertension,nausea|sweating,0.81
22,Carvedilol,heart_failure,hypertension,asthma|heart_block,dizziness|fatigue,0.86
23,Pregabalin,neuropathy,anxiety,kidney_disease,dizziness|weight_gain,0.83
24,Clopidogrel,blood_clots,heart_disease,bleeding_disorders,bruising|bleeding,0.87
25,Fluoxetine,depression,anxiety,bipolar|liver_disease,insomnia|anxiety,0.82
26,Ramipril,hypertension,heart_failure,pregnancy|kidney_disease,cough|dizziness,0.84
27,Simvastatin,cholesterol,heart_disease,liver_disease|pregnancy,muscle_pain|headache,0.85
28,Bupropion,depression,smoking_cessation,seizures|eating_disorders,insomnia|dry_mouth,0.80
29,Trazodone,insomnia,depression,heart_disease,drowsiness|dizziness,0.78
30,Metoprolol,hypertension,heart_failure,asthma|heart_block,fatigue|dizziness,0.86
